2022-07-19-17-51: epoch: 1 |tot 18.753907 | hm 1.114974 | wh 1.970339 | reg 0.232917 | dep 2.244068 | dep_sec 9.473274 | dim 0.204224 | rot 1.643104 | rot_sec 2.083006 | amodel_offset 0.926409 | nuscenes_att 0.383986 | velocity 0.250912 | time 2.350000 | tot 9.954186 | hm 1.007946 | wh 1.775850 | reg 0.225587 | dep 1.489526 | dep_sec 2.048511 | dim 0.170520 | rot 1.585425 | rot_sec 1.862535 | amodel_offset 0.885412 | nuscenes_att 0.268545 | velocity 0.232594 | time 3.350000 | 
2022-07-19-17-57: epoch: 2 |tot 11.290540 | hm 1.019520 | wh 1.690853 | reg 0.228620 | dep 1.811309 | dep_sec 3.190875 | dim 0.176668 | rot 1.611157 | rot_sec 1.805065 | amodel_offset 0.805185 | nuscenes_att 0.265468 | velocity 0.207586 | time 2.283333 | tot 9.513621 | hm 0.944299 | wh 1.769036 | reg 0.224664 | dep 1.402116 | dep_sec 2.044579 | dim 0.160588 | rot 1.562660 | rot_sec 1.712295 | amodel_offset 0.828766 | nuscenes_att 0.230085 | velocity 0.226667 | time 3.366667 | 
2022-07-19-18-04: epoch: 3 |tot 10.549965 | hm 0.973479 | wh 1.633450 | reg 0.233236 | dep 1.817391 | dep_sec 2.650220 | dim 0.167324 | rot 1.607003 | rot_sec 1.716230 | amodel_offset 0.774170 | nuscenes_att 0.236649 | velocity 0.210918 | time 2.283333 | tot 9.930672 | hm 0.930310 | wh 1.780065 | reg 0.224924 | dep 1.383342 | dep_sec 2.578025 | dim 0.159496 | rot 1.545344 | rot_sec 1.641871 | amodel_offset 0.854025 | nuscenes_att 0.204250 | velocity 0.231080 | time 3.350000 | 
2022-07-19-18-10: epoch: 4 |tot 10.479930 | hm 0.949414 | wh 1.578265 | reg 0.228052 | dep 1.690928 | dep_sec 2.839106 | dim 0.167837 | rot 1.585506 | rot_sec 1.668763 | amodel_offset 0.792348 | nuscenes_att 0.195958 | velocity 0.204192 | time 2.283333 | tot 8.713652 | hm 0.904141 | wh 1.759199 | reg 0.224271 | dep 1.246545 | dep_sec 1.640764 | dim 0.151784 | rot 1.543863 | rot_sec 1.617255 | amodel_offset 0.819103 | nuscenes_att 0.172309 | velocity 0.217697 | time 3.350000 | 
2022-07-19-18-16: epoch: 5 |tot 10.414171 | hm 0.939940 | wh 1.578964 | reg 0.228129 | dep 1.617183 | dep_sec 2.931731 | dim 0.163526 | rot 1.575268 | rot_sec 1.652516 | amodel_offset 0.763223 | nuscenes_att 0.181815 | velocity 0.202944 | time 2.283333 | tot 8.603839 | hm 0.894157 | wh 1.538475 | reg 0.224055 | dep 1.074850 | dep_sec 1.833489 | dim 0.143442 | rot 1.520699 | rot_sec 1.594848 | amodel_offset 0.778727 | nuscenes_att 0.163228 | velocity 0.222498 | time 3.366667 | 
2022-07-19-18-23: epoch: 6 |tot 9.453017 | hm 0.913184 | wh 1.547292 | reg 0.229805 | dep 1.507316 | dep_sec 2.269720 | dim 0.158218 | rot 1.548884 | rot_sec 1.607608 | amodel_offset 0.692801 | nuscenes_att 0.167261 | velocity 0.203490 | time 2.283333 | tot 8.094562 | hm 0.862745 | wh 1.510908 | reg 0.224649 | dep 1.003853 | dep_sec 1.527170 | dim 0.143756 | rot 1.505546 | rot_sec 1.561150 | amodel_offset 0.747048 | nuscenes_att 0.147010 | velocity 0.220545 | time 3.500000 | 
2022-07-19-18-29: epoch: 7 |tot 9.341165 | hm 0.889120 | wh 1.585072 | reg 0.230911 | dep 1.371491 | dep_sec 2.308054 | dim 0.154897 | rot 1.543947 | rot_sec 1.597215 | amodel_offset 0.725176 | nuscenes_att 0.161935 | velocity 0.199914 | time 2.283333 | tot 8.102263 | hm 0.862994 | wh 1.523081 | reg 0.222083 | dep 1.007697 | dep_sec 1.591902 | dim 0.144848 | rot 1.492864 | rot_sec 1.543586 | amodel_offset 0.730180 | nuscenes_att 0.138765 | velocity 0.215035 | time 3.283333 | 
2022-07-19-18-35: epoch: 8 |tot 8.908311 | hm 0.896401 | wh 1.450651 | reg 0.227043 | dep 1.349287 | dep_sec 1.908648 | dim 0.159317 | rot 1.536861 | rot_sec 1.577434 | amodel_offset 0.745737 | nuscenes_att 0.157024 | velocity 0.205495 | time 2.266667 | tot 8.642877 | hm 0.864625 | wh 1.533220 | reg 0.222373 | dep 1.083104 | dep_sec 1.956150 | dim 0.147211 | rot 1.488036 | rot_sec 1.528253 | amodel_offset 0.853199 | nuscenes_att 0.131809 | velocity 0.214796 | time 2.816667 | 
2022-07-19-18-41: epoch: 9 |tot 9.405770 | hm 0.907959 | wh 1.468755 | reg 0.225392 | dep 1.383480 | dep_sec 2.383938 | dim 0.155274 | rot 1.540934 | rot_sec 1.576368 | amodel_offset 0.743619 | nuscenes_att 0.145920 | velocity 0.196010 | time 2.266667 | tot 9.187455 | hm 0.830588 | wh 1.474207 | reg 0.223375 | dep 1.139572 | dep_sec 2.600024 | dim 0.147411 | rot 1.477217 | rot_sec 1.525658 | amodel_offset 0.751983 | nuscenes_att 0.128567 | velocity 0.215638 | time 2.783333 | 
2022-07-19-18-47: epoch: 10 |tot 9.108004 | hm 0.864864 | wh 1.438905 | reg 0.226134 | dep 1.364695 | dep_sec 2.263683 | dim 0.150565 | rot 1.516805 | rot_sec 1.547193 | amodel_offset 0.687362 | nuscenes_att 0.145517 | velocity 0.197294 | time 2.266667 | tot 8.045904 | hm 0.818647 | wh 1.461623 | reg 0.221867 | dep 1.110492 | dep_sec 1.571566 | dim 0.142592 | rot 1.479635 | rot_sec 1.509731 | amodel_offset 0.700383 | nuscenes_att 0.122980 | velocity 0.221849 | time 2.766667 | 
2022-07-19-18-52: epoch: 11 |tot 8.524287 | hm 0.845554 | wh 1.415111 | reg 0.226947 | dep 1.308282 | dep_sec 1.797276 | dim 0.147440 | rot 1.518851 | rot_sec 1.542367 | amodel_offset 0.656592 | nuscenes_att 0.141791 | velocity 0.197674 | time 2.266667 | tot 7.589908 | hm 0.803445 | wh 1.417592 | reg 0.222342 | dep 1.012709 | dep_sec 1.278860 | dim 0.144124 | rot 1.468961 | rot_sec 1.491305 | amodel_offset 0.690156 | nuscenes_att 0.120832 | velocity 0.215414 | time 3.050000 | 
